@relation diemthifinal

@attribute sbd numeric
@attribute 'Diem xet tot nghiep' numeric
@attribute 'Dieu kien tot nghiep' {Dat,'Khong Dat'}

@data
51001370,7.7,Dat
51001375,7.1,Dat
51001369,7.7,Dat
51001373,7.2,Dat
51001371,7.7,Dat
51001367,8,Dat
51001378,8.3,Dat
51001372,7.2,Dat
51001374,9.3,Dat
51001377,8.4,Dat
51001379,6.5,Dat
51001381,7.7,Dat
51001376,8.4,Dat
51001383,8,Dat
51001382,7.8,Dat
51001380,7.5,Dat
51001384,7.6,Dat
51001385,6,Dat
51001386,6.9,Dat
51001387,7,Dat
51001389,5.7,Dat
51001396,5.6,Dat
51001392,5.8,Dat
51001391,7.8,Dat
51001398,6.6,Dat
51001390,8.2,Dat
51001400,7.5,Dat
51001393,6.7,Dat
51001406,8.3,Dat
51001397,7.7,Dat
51001402,7.6,Dat
51001407,8,Dat
51001395,7.7,Dat
51001401,8.2,Dat
51001405,6.7,Dat
51001408,8.8,Dat
51001403,7,Dat
51001410,6.7,Dat
51001409,8.8,Dat
51001404,6.4,Dat
51001414,6.7,Dat
51001417,7.7,Dat
51001415,8.1,Dat
51001413,7.4,Dat
51001422,8.3,Dat
51001423,7.4,Dat
51001421,8.3,Dat
51001419,7.1,Dat
51001420,8.9,Dat
51001424,7,Dat
51001425,7.9,Dat
51001426,5,Dat
51001431,6.9,Dat
51001428,7.2,Dat
51001435,7,Dat
51001434,7.8,Dat
51001429,7,Dat
51001432,9,Dat
51001436,6.6,Dat
51001427,6.4,Dat
51001433,6.2,Dat
51001430,5.9,Dat
51001438,7.3,Dat
51001441,7.4,Dat
51001452,6.9,Dat
51001442,7.5,Dat
51001450,7.4,Dat
51001440,7.3,Dat
51001445,6.9,Dat
51001451,6.5,Dat
51001448,7,Dat
51001458,5.7,Dat
51001454,6,Dat
51001459,6.7,Dat
51001465,5.2,Dat
